,time,open,high,low,close,volume
0,1/2/2018,86.12,86.31,85.5,85.95,22483797
1,1/3/2018,86.06,86.51,85.97,86.35,26061439
2,1/4/2018,86.59,87.66,86.57,87.11,21911974
3,1/5/2018,87.66,88.41,87.43,88.19,23407110
4,1/8/2018,88.2,88.58,87.6,88.28,22113049
5,1/9/2018,88.65,88.73,87.86,88.22,19484317
6,1/10/2018,87.86,88.19,87.41,87.82,18652201
7,1/11/2018,88.13,88.13,87.24,88.08,17808877
8,1/12/2018,88.67,89.78,88.45,89.6,24271531
9,1/16/2018,90.1,90.79,88.01,88.35,36599736
10,1/17/2018,89.08,90.28,88.75,90.14,25621164
11,1/18/2018,89.8,90.67,89.66,90.1,24159683
12,1/19/2018,90.14,90.61,89.66,90,36875013
13,1/22/2018,90,91.62,89.74,91.61,23601555
14,1/23/2018,91.9,92.3,91.54,91.9,23412841
15,1/24/2018,92.55,93.43,91.58,91.82,33277483
16,1/25/2018,92.46,93.24,91.93,92.33,26383238
17,1/26/2018,93.12,94.06,92.58,94.06,29172167
18,1/29/2018,95.14,95.45,93.72,93.92,31569940
19,1/30/2018,93.3,93.66,92.1,92.74,38635053
20,1/31/2018,93.75,95.4,93.51,95.01,48756338
21,2/1/2018,94.79,96.07,93.58,94.26,47227882
22,2/2/2018,93.64,93.97,91.5,91.78,47867753
23,2/5/2018,90.56,93.24,88,88,51031465
24,2/6/2018,86.89,91.48,85.25,91.33,67998564
25,2/7/2018,90.49,91.77,89.2,89.61,41107592
26,2/8/2018,89.71,89.88,84.76,85.01,55628657
27,2/9/2018,86.3,88.93,83.83,88.18,63499065
28,2/12/2018,88.74,89.78,87.93,89.13,35720341
29,2/13/2018,88.93,90,87.8,89.83,26407702
30,2/14/2018,88.51,90.99,88.41,90.81,34960912
31,2/15/2018,91.21,92.72,90.62,92.66,27823866
32,2/16/2018,92.45,93.5,91.8,92,30596919
33,2/20/2018,91.48,93.06,91.01,92.72,30911725
34,2/21/2018,92.98,93.36,91.49,91.49,26922503
35,2/22/2018,92.05,92.73,91.36,91.73,24392753
36,2/23/2018,92.75,94.07,92.36,94.06,26329226
37,2/26/2018,94.4,95.45,94.25,95.42,30199846
38,2/27/2018,95.74,95.84,94.2,94.2,25869119
39,2/28/2018,94.84,95.7,93.63,93.77,31167338
40,3/1/2018,93.99,94.57,91.84,92.85,37135561
41,3/2/2018,91.58,93.15,90.86,93.05,32830389
42,3/5/2018,92.34,94.27,92.26,93.64,23901578
43,3/6/2018,94.34,94.49,92.94,93.32,22175776
44,3/7/2018,93.16,93.94,92.43,93.86,26716127
45,3/8/2018,94.27,95.1,93.76,94.43,25887828
46,3/9/2018,95.29,96.54,95,96.54,36937254
47,3/12/2018,96.5,97.21,96.04,96.77,26073742
48,3/13/2018,97,97.24,93.97,94.41,35387817
49,3/14/2018,95.12,95.41,93.5,93.85,32131981
50,3/15/2018,93.53,94.58,92.83,94.18,27610998
51,3/16/2018,94.68,95.38,93.92,94.6,49081279
52,3/19/2018,93.74,93.9,92.11,92.89,33344085
53,3/20/2018,93.05,93.77,93,93.13,23075240
54,3/21/2018,92.93,94.05,92.21,92.48,24457082
55,3/22/2018,91.26,91.75,89.66,89.79,38604715
56,3/23/2018,89.5,90.46,87.08,87.18,44068949
57,3/26/2018,90.61,94,90.4,93.78,56396780
58,3/27/2018,94.94,95.14,88.51,89.47,56569011
59,3/28/2018,89.82,91.23,88.87,89.39,52501146
60,3/29/2018,90.18,92.29,88.4,91.27,45867548
61,4/2/2018,90.47,90.88,87.51,88.52,48515417
62,4/3/2018,89.58,90.05,87.89,89.71,37213837
63,4/4/2018,87.85,92.76,87.73,92.33,35559956
64,4/5/2018,92.44,93.06,91.4,92.38,29771881
65,4/6/2018,91.49,92.46,89.48,90.23,38026000
66,4/9/2018,91.04,93.17,90.62,90.77,31533943
67,4/10/2018,92.39,93.28,91.64,92.88,26939883
68,4/11/2018,92.01,93.29,91.48,91.86,24872110
69,4/12/2018,92.43,94.16,92.43,93.58,26758879
70,4/13/2018,94.05,94.18,92.44,93.08,23346063
71,4/16/2018,94.07,94.66,93.42,94.17,20288083
72,4/17/2018,95,96.54,94.88,96.07,26771000
73,4/18/2018,96.22,96.72,95.52,96.44,21043287
74,4/19/2018,96.44,97.07,95.34,96.11,23552541
75,4/20/2018,95.91,96.11,94.05,95,31154377
76,4/23/2018,95.74,96.29,94.63,95.35,22331829
77,4/24/2018,96.24,96.47,92.41,93.12,34524799
78,4/25/2018,93.3,93.3,90.28,92.31,33729257
79,4/26/2018,93.55,95.15,93.1,94.26,42529043
80,4/27/2018,97.6,97.9,93.91,95.82,48272780
81,4/30/2018,96.33,96.4,93.15,93.52,41523605
82,5/1/2018,93.21,95.29,92.79,95,31408927
83,5/2/2018,94.99,95.17,93.19,93.51,27471002
84,5/3/2018,92.96,94.92,92.45,94.07,31142497
85,5/4/2018,93.32,95.37,92.92,95.16,22531325
86,5/7/2018,95.17,96.71,95.1,96.22,24242019
87,5/8/2018,95.85,96.16,95.06,95.81,23484589
88,5/9/2018,96.01,96.97,95.05,96.94,27327410
89,5/10/2018,97.46,97.95,97.05,97.91,22388119
90,5/11/2018,97.8,97.87,97.04,97.7,16778316
91,5/14/2018,97.92,98.69,97.31,98.03,19454124
92,5/15/2018,97.24,97.85,96.34,97.32,24594010
93,5/16/2018,97.36,97.4,96.62,97.15,17384742
94,5/17/2018,96.76,97.54,95.83,96.18,17246716
95,5/18/2018,96.01,96.93,96.01,96.36,17865840
96,5/21/2018,97,98.01,96.8,97.6,19422467
97,5/22/2018,97.68,98.17,97.2,97.5,15441189
98,5/23/2018,96.71,98.73,96.32,98.66,21251222
99,5/24/2018,98.72,98.94,96.81,98.31,26649287
100,5/25/2018,98.3,98.98,97.86,98.36,18363918
101,5/29/2018,97.84,98.88,97.23,98.01,28670981
102,5/30/2018,98.31,99.25,97.91,98.95,22158528
103,5/31/2018,99.29,99.99,98.61,98.84,34140891
104,6/1/2018,99.28,100.86,99.17,100.79,28655624
105,6/4/2018,101.26,101.86,100.85,101.67,27281623
106,6/5/2018,102,102.33,101.53,102.19,23514402
107,6/6/2018,102.48,102.6,101.9,102.49,21122917
108,6/7/2018,102.65,102.69,100.38,100.88,28232197
109,6/8/2018,101.09,101.95,100.54,101.63,22165128
110,6/11/2018,101.37,101.59,100.67,101.05,23490894
111,6/12/2018,101.1,101.45,100.75,101.31,18325228
112,6/13/2018,101.72,102.01,100.56,100.85,29492875
113,6/14/2018,101.65,102.03,101,101.42,25691811
114,6/15/2018,101.51,101.53,100.07,100.13,65738585
115,6/18/2018,100.01,101.11,99.42,100.86,23586037
116,6/19/2018,99.65,101,99.5,100.86,28653087
117,6/20/2018,101.37,102.52,101.12,101.87,26180792
118,6/21/2018,102.08,102.46,100.88,101.14,23198188
